x_mm,y_mm,r_mm,ekin_MeV
0.307284,-6.65383,0.688295,5.42582
3.97677,1.84204,0.6894,5.4845
0.563006,-6.58855,0.690173,5.4963
-5.87526,2.44886,0.690667,5.44277
0.112299,9.73922,0.690687,5.46802
-8.14359,3.26832,0.690782,5.44072
-6.28464,1.43903,0.690976,5.43562
-6.44873,-4.42055,0.692598,5.45978
5.31668,5.78487,0.697056,5.4405
-8.79375,-4.26758,0.697088,5.38867
10.63,2.92873,0.697834,5.43367
5.88039,7.65059,0.697907,5.45225
-2.59035,-2.88507,0.698289,5.4612
-0.263994,-2.51761,0.699425,5.45143
2.19932,0.0743742,0.700277,5.43696
0.376752,-0.196892,0.702762,5.47455
2.68864,-9.751,0.704559,5.46989
-2.24179,0.036894,0.705775,5.49839
10.3445,2.24493,0.706444,5.48247
5.19735,3.93772,0.708617,5.46946
3.06739,3.43641,0.710058,5.45565
-10.0535,3.9512,0.71077,5.47072
7.52628,0.471,0.710809,5.44193
-5.45009,-4.44068,0.710971,5.43674
5.52832,1.36515,0.711408,5.47447
-8.68352,-4.25109,0.712339,5.384
-0.269367,-0.713695,0.71285,5.43646
4.51666,-6.56984,0.713207,5.45815
-3.44067,-8.80361,0.713515,5.49191
2.58322,1.38613,0.715171,5.43553
9.80658,-3.25443,0.715775,5.49076
-6.51251,4.53923,0.716555,5.42112
-13.0575,15.0107,0.716785,5.44215
-7.68528,-2.12734,0.71739,5.4871
-0.47642,2.60085,0.717983,5.40258
-5.68415,-6.26932,0.719274,5.46248
0.429045,-13.5208,0.720597,5.42153
-0.964348,-0.958775,0.721438,5.46335
-7.64723,5.01542,0.722444,5.46192
-0.091775,-8.36363,0.724489,5.4492
2.83677,6.16394,0.724585,5.42974
-1.87185,2.25825,0.724666,5.48796
-3.36374,0.0631812,0.725481,5.42024
-2.89769,9.7273,0.727972,5.42869
-1.44097,2.53468,0.728165,5.43296
5.5108,-10.0924,0.728383,5.4875
9.98126,-2.27567,0.728658,5.44057
-6.5052,6.78051,0.729249,5.4091
2.53604,-2.18072,0.730686,5.50293
-4.18247,4.76777,0.731102,5.42874
-2.09123,-6.31889,0.731418,5.46673
3.50898,-0.841289,0.732209,5.46882
8.16497,-1.62489,0.732349,5.45664
-3.77154,4.52997,0.733065,5.43126
-2.61936,5.29686,0.733171,5.49536
-5.77212,-7.63365,0.734324,5.49664
2.3295,-0.713302,0.736491,5.44921
-5.13955,10.3365,0.736643,5.42158
2.29796,3.27571,0.738358,5.44768
-5.57109,6.01861,0.738715,5.44113
-1.6198,7.39193,0.739932,5.49606
5.99438,2.1285,0.741023,5.45273
-0.168829,3.77752,0.741119,5.42008
2.09688,2.61696,0.741186,5.43201
-1.22337,-4.87096,0.741268,5.45769
-7.5958,3.33348,0.742323,5.44615
5.25601,6.39221,0.742439,5.47626
9.36947,-9.99271,0.746183,5.4578
0.236357,-3.13866,0.746511,5.4215
-2.73832,0.193917,0.746951,5.43492
-3.73818,0.800241,0.74965,5.42278
-1.15955,-0.47095,0.750198,5.45747
-2.90818,-0.644205,0.750314,5.47635
-0.483154,0.900681,0.752451,5.45934
7.01888,3.90612,0.752625,5.45938
2.35438,-5.57407,0.752922,5.45463
6.79583,4.81721,0.753146,5.47289
-9.8875,7.42324,0.754148,5.44306
-3.6833,-1.29123,0.754614,5.43981
-7.16986,-2.39942,0.755011,5.43795
0.742645,2.75115,0.755223,5.47867
7.50816,1.81365,0.757658,5.47529
-0.213712,10.3718,0.757693,5.40632
0.724643,-3.25553,0.757854,5.45822
-7.33628,0.000623864,0.757896,5.48764
2.27927,-1.95274,0.758648,5.45313
1.36747,4.47507,0.758693,5.39941
-1.83286,-9.60931,0.760995,5.42309
3.93679,-1.45454,0.761287,5.50095
-10.8085,1.81301,0.761476,5.46501
0.0499632,7.49801,0.761666,5.43074
0.0550326,8.59553,0.762531,5.46726
0.177253,9.38026,0.762836,5.44395
1.19751,-9.33518,0.763395,5.454
-6.59433,4.05823,0.76401,5.43569
4.89741,16.09,0.765637,5.47941
1.49798,-5.30013,0.765998,5.42843
-2.46137,9.59084,0.766291,5.41401
-9.07268,-4.29772,0.766336,5.46461
-6.86712,-8.37714,0.767854,5.48652
-12.7852,10.4325,0.768861,5.4339
-7.35016,0.755515,0.769465,5.46894
-5.48548,-2.25142,0.771744,5.43706
-5.53897,-4.4519,0.774648,5.44784
10.0151,2.82558,0.775429,5.46152
3.29992,3.00684,0.775455,5.43006
-4.06401,1.98126,0.7755,5.42296
-1.82029,6.84175,0.776212,5.43716
6.27978,-3.53546,0.776666,5.43631
-1.95574,3.95462,0.776763,5.41447
8.47102,-1.63614,0.777281,5.44428
-7.25959,4.40166,0.778072,5.45359
6.08469,-1.25555,0.778639,5.43235
2.82547,0.685923,0.779731,5.47512
-8.11221,0.748354,0.7801,5.40057
6.17506,2.19919,0.780789,5.4261
5.99817,10.0438,0.781133,5.4759
14.5763,1.18559,0.781566,5.45997
-7.96995,5.45442,0.783529,5.46442
5.18288,-1.72268,0.784526,5.43334
-8.12981,0.287668,0.784624,5.45792
12.221,-4.58526,0.785092,5.45158
-6.07363,4.59701,0.78571,5.47068
-7.0704,-1.32449,0.787644,5.47302
-3.44588,5.96732,0.789608,5.43633
-1.9922,-8.28787,0.79028,5.44173
-4.71286,8.9808,0.790645,5.4021
-0.0656363,2.72135,0.791213,5.44951
-3.58778,-2.50502,0.791924,5.46345
-10.3557,-1.13284,0.792604,5.42757
1.43395,-1.62478,0.793784,5.41569
0.319725,3.84278,0.794154,5.47547
8.96305,3.03913,0.794592,5.44015
-1.40354,1.84947,0.79525,5.48698
9.41317,8.26495,0.795568,5.44064
-2.43115,5.59004,0.795756,5.45457
6.82541,-0.462152,0.795781,5.4683
-4.11235,-5.27842,0.796588,5.46678
6.7273,4.59293,0.797819,5.41757
6.95488,1.35451,0.801286,5.46235
-3.77036,2.77812,0.801302,5.4223
